,name,호선,gu,dong
0,서울,1,중구,봉래동
1,시청,1,중구,정동
2,종각,1,종로구,종로1가
3,종로3가,1,종로구,종로3가
4,종로5가,1,종로구,종로5가
5,동대문,1,종로구,창신동
6,신설동,1,동대문구,신설동
7,제기동,1,동대문구,제기동
8,청량리(서울시립대입구),1,동대문구,전농동
9,동묘앞,1,종로구,숭인동
10,시청,2,중구,서소문동
11,을지로입구,2,중구,을지로1가
12,을지로3가,2,중구,을지로3가
13,을지로4가,2,중구,을지로4가
14,동대문역사문화공원,2,중구,을지로7가
15,신당,2,중구,신당동
16,상왕십리,2,성동구,하왕십리동
17,왕십리(성동구청),2,성동구,행당동
18,한양대,2,성동구,행당동
19,뚝섬,2,성동구,성수동1가
20,성수,2,성동구,성수동2가
21,건대입구,2,광진구,화양동
22,구의(광진구청),2,광진구,구의동
23,강변(동서울터미널),2,광진구,구의동
24,잠실나루,2,송파구,신천동
25,잠실(송파구청),2,송파구,잠실동
26,잠실새내,2,송파구,잠실동
27,종합운동장,2,송파구,잠실동
28,삼성(무역센터),2,강남,삼성동
29,선릉,2,강남,삼성동
30,역삼,2,강남,역삼동
31,강남,2,강남,역삼동
32,교대(법원·검찰청),2,서초구,서초동
33,서초,2,서초구,서초동
34,방배,2,서초구,방배동
35,사당,2,동작구,사당동
36,낙성대,2,관악구,봉천동
37,서울대입구(관악구청),2,관악구,봉천동
38,봉천,2,관악구,봉천동
39,신림,2,관악구,신림동
40,신대방,2,동작구,신대방동
41,구로디지털단지,2,구로구,구로동
42,대림(구로구청),2,구로구,구로동
43,신도림,2,구로구,신도림동
44,문래,2,영등포구,문래동3가
45,영등포구청,2,영등포구,당산동3가
46,당산,2,영등포구,당산동
47,합정,2,마포구,서교동
48,홍대입구,2,마포구,동교동
49,신촌,2,마포구,노고산동
50,이대,2,마포구,염리동
51,아현,2,마포구,아현동
52,충정로(경기대입구),2,서대문구,충정로3가
53,용답,2,성동구,용답동
54,신답,2,성동구,용답동
55,용두(동대문구청),2,동대문구,용두동
56,신설동,2,동대문구,신설동
57,도림천,2,구로구,신도림동
58,양천구청,2,양천구,신정동
59,신정네거리,2,양천구,신정동
60,까치산,2,강서구,화곡동
61,지축,3,고양시 덕양구,덕양구
62,구파발,3,은평구,진관동
63,연신내,3,은평구,갈현동
64,불광,3,은평구,대조동
65,녹번,3,은평구,녹번동
66,홍제,3,서대문구,홍제동
67,무악재,3,서대문구,홍제동
68,독립문,3,서대문구,현저동
69,경복궁(정부서울청사),3,종로구,적선동
70,안국,3,종로구,안국동
71,종로3가,3,종로구,묘동
72,을지로3가,3,중구,을지로3가
73,충무로,3,중구,필동2가
74,동대입구,3,중구,장충동2가
75,약수,3,중구,신당동
76,금호,3,성동구,금호동4가
77,옥수,3,성동구,옥수동
78,압구정,3,강남구,신사동
