name,counter
25,32974
하루,61025
먹자,3909
꼴깍,397
그림,2748
스타일,31250
인뉴욕,4815
물고기,6202
크림,143844
수록,4010
오픈키친,1583
믹스,938
노른자,2272
만나,12871
미가,11470
유니크,743
더쭈꾸미,1509
바다,1162
비스,19004
행복,11465
요정,1951
리치,2194
공터,134
한끼,5184
소나,3634
담아,5516
에다,5523
오기,9906
앤치즈,2229
나무,10969
이끼롤까스 가로수길점,3485
주가,8111
킹콩스테이크,4111
빌라 드 스파이시,3793
명불허전,4
오토코,46
플레이,133069
애플,6380
리뷰,2455
모임,15473
가야,7099
아지,4676
레이,151129
메이,4708
단지,461
초이스,1771
이즈,10128
마리,7814
블루,10378
야르,29
술집,3819
채운,721
오픈,21085
사이다,2852
그대,7181
베이,19545
아이스크림,4314
시카고,10551
와우,2458
오가,926
멕시칸,3183
이자카야,3109
바삭,32838
스토리,714
센스,9268
포인트,3403
오후,10795
오렌지,6165
듀자미,2000
은정,664
베스킨라빈스,106
소도,985
어반,420
누이네,766
마피아,1166
그린,3962
우랑,2052
파크,156
까스등,301
올리브,13578
파티오42,4304
나폴리,11936
아미치,101
서리,385
바바,413
타임스,262
다다,2119
비비,1718
신상,1232
마카롱,1274
힐링,1110
두부공작소,2809
럭셔리,305
하하,2506
스파클,1475
허브,2388
용이네,100
카카오,1515
크크,1124
고등어,3198
미미면가,6650
파스파,303
완소,100
넘버원,302
정크,101
모네,504
골드,1469
어썸,6678
콰이,1145
라운지,702
봄날,506
마도,1685
조우,202
코지,99
야미,511
보스,301
다와,607
러쉬,202
팔일삼,4461
정식당,318
더하기,303
베가,5309
매니아,1699
663,1286
빅뱅,406
유쾌한접시,1224
우리집,411
가온,204
젤로,300
테마,406
라비,2984
뮤즈,101
치토스,712
피플,202
세븐,2073
피어세븐틴,1536
한강,773
로지,810
주당,307
체리,202
둘세이수아베,1991
관계,1087
정원,435
딸부자네불백,4440
플라워,407
카페라,604
레이브릭스,101
부자네,7555
행운,105
파나,508
삐아프,102
2112,896
장뚜가리,99
헤븐,100
오조,100
시골집,100
명가,101
다미,1880
만선,99
영광,100
죠이,301
해밥상달주막,1313
용두동쭈꾸미,1916
바자,266
아지트,927
폴바셋,310
투데이,239
신사소곱창,2735
가을,389
르브런쉭,1212
래빗,404
마구로,301
마루,10188
수족관,318
김북순큰남비집,1107
난장캠프 신사,198
레드신,100
원바,103
생어거스틴,9474
세븐블레스,303
연경,306
딱좋아,207
김가네김밥,606
뻐꾸기,918
밥한상,100
포샵,100
아딸,101
에이스,309
벽돌집,2856
양철지붕,102
더 빠,101
두사라,618
갤럭시,343
베가스,4908
민이네,101
아리아,103
하노이몽,103
생각나는 밥상,104
담소,312
김밥천국,624
델리,101
루비,202
닝교초돈부리,200
전선생,100
쿠노요,196
인트로,199
몽리,600
매운대,101
두크렘,606
말리,103
두루두루,99
타마시,99
류니끄,303
모단걸응접실,2024
유노추보,306
겐로쿠,707
캬라멜,100
호수,115
산호,2518
칼라,198
푸드스타,101
버진,294
돗자리,98
완도,100
죠스떡볶이,194
튜브,199
목포집,436
마노,100
하루엔소쿠,198
베이징덕,100
망고식스,98
오초코,100
머그포래빗,101
유레카,98
우림황소양곱창,582
노가다,1456
우마이,467
소호,103
파리바게트,98
로데오,297
맘모스,101
라리,202
불칸,100
병철이네치맛살,200
나비,106
미카,404
돈돈,440
더 맥주,98
리북집,105
모르나,108
뜨라또리아,606
디저트리,101
그라노,147
카페코발트,200
송옥,1069
깐부치킨,101
배꼽시계,100
좋은식당,101
팝스,100
레서피,103
새마을식당,1658
레커,89
오비야,85
하모,66
하모니,66
라 뽐므,122
바닐라빈,61
엘본더테이블,826
주점,48
인사동,39
매그넘,39
이마이,30
샤크,100
광명,22
