name,counter
올리브,12792
베이,17531
우리집만두,403
우정,567
화덕,6007
뚝배기,888
삼선,1400
에스,7040
힐링,6575
송이가,118
오뎅,3209
다미,1298
고향,401
서원,586
블루밍,990
매운대(강남역점),101
다원,652
장원,4826
연탄마을,702
다향,3268
하루,35160
하나,67540
이지,53882
파인,3357
모자이크,546
투데이,20
이루,3067
이가,30092
마실,9950
처음처럼,408
자스,2858
레인,6128
모델,496
선초밥,592
유가네,2419
반가,2339
성지,483
아삭,11471
하하,4022
알리오,3046
친구,69495
도치,2195
땡겨,2462
행복,10743
미가,49812
이로,5424
체리,498
맛나,23141
나야,602
라인,4960
라임,6572
래쉬,100
레브,200
화요리,903
퓨전,5724
퐁듀,2676
삼도,100
홀릭,5564
호호,858
놀부부대찌개,282
민트,2317
어가,69198
고깃집,4350
훌리오,1389
루이,3492
명주,199
베이스,2858
올인,303
테라스,10507
아리,1421
와바,314
베스트,141530
마오,726
스토리,891
바닷가,303
레드,44096
블루,22120
엔가와,234
우리집,3556
리원,1504
큐브,5178
아시아,421
디어,26232
지인,15048
밥주세요,102
코드,399
10,136213
바나나,4572
우도,6467
이벤트,10277
로제,14586
타임,38283
북경,201
도모,435
가빈,174
소요,301
크림,106280
대화,2399
만강,1223
본가,1772
미루,654
대가,13808
클라우드,296
바비,58756
나래,117
미네,632
라쿠,102
아이해브어드림,2497
가선,303
나무,13306
비노,151
도도,2016
카라,4515
동이,3164
창고,3637
투뿔한우,7
봄봄,100
북촌수라간,99
모리화,597
볼륨,166
동경,628
스프링,1701
블랙,6229
교토,3903
스키,407
고구마,7458
선물,4084
다보,20254
블로썸,200
아이,21388
아라,5749
베이직,603
와이,4157
비비,1198
제로,2838
초이스,6708
하모니,1197
연구소,364
골드,285
뉴욕,4215
소개팅,4147
피쉬,1625
다우,1952
블링블링,376
조인,234
하트,4026
카페인,909
생방송,5
케이,12311
샤샤,693
학교,1816
웨이,22361
리베,1892
한스,2131
미소,10953
우연,1074
오케이,403
애플,16808
스타일,14079
싱싱,9430
허브,1033
파티,7058
팡팡,3214
룰루랄라,300
사라,4037
나나,4974
마이,2247
로이,2450
이야기,8440
설탕,602
통통,5909
라퓨타,63
도치피자,1892
바비레드,25920
민박,98
하나로,633
베네,548
함께해요,404
브릭오븐,100
골목길,2416
로비,222
후루룩,1536
은행골,4500
식도락,350
레이,117349
오늘,32120
하우스,7146
가인,929
고코,118
맛집,463070
심플,1510
양지,2421
클럽,2353
서설,201
호박,7458
라피자,1019
포인트,4080
떡볶이,7081
리고,95113
피에스타,204
그림,2612
소담,202
락교,1618
옹기종기,100
거기,10052
화통,56
명인,1051
주관,954
시카,6095
마마,99
삼국지,200
특급,99
미친,1456
믹스,878
가고파,201
화로구이,1787
나폴리,5403
나리,4665
접수,396
토마토,38874
화가,5173
하시,30646
화로,5546
수라,1103
만요,1714
로와,690
빨대,107
마린,226
다올,443
뜰에서 화로구이,300
나인,2878
가와,838
지니,7572
매니아,1303
네모,253
로호,165
소라,1124
시안,723
현해,285
센스,7709
프라임,2286
마리,4618
하진,981
메이플,1111
발코니,17
스타,121467
밀라노,908
모던,4005
코코,2680
자부,950
더빠,102
딸기,16095
이젠,2442
미미,552
세이로,888
비타민,398
패밀리,716
시크릿,2240
코리아,403
세븐,303
일레븐,99
세븐일레븐,99
지중해,201
한상가득,301
스고이,297
물고기,103
마인드,403
채움,99
백암왕순대,600
백암,1000
농민백암왕순대,100
을밀대,804
가림,198
유로,1282
나무와,98
예스,402
원가,872
호프집,200
모퉁이,103
임팩트,311
양푼이,101
라비,1699
이세,504
러쉬,696
매월,602
오모야,505
오무라안,100
삼미,400
칠성,101
일미,1805
우디,1742
미락,300
오봉참치,600
그자리,300
마키노차야 역삼점,2113
트레이드,101
코끼리,801
카마,505
아소산,1290
열린,101
빅뱅,600
비엔나,242
해선,450
카카오,954
럭셔리,602
뮤직,299
클래식,3585
대인가,100
발걸음,779
맛있는집,462
비즈,106
피아노,198
무쏘,2596
뮤지컬,203
쥬시,201
육쌈냉면,601
떡도리탕,3452
미림,994
헤븐,7618
야미,802
오페라,200
보물섬,100
나누기,607
호미불닭발,99
메이트,99
705,100
쿠바,404
가시리,1600
전주,100
시카고,5947
사랑방,600
주전자,302
골목집,500
다온,324
연정,100
두부공작소,430
진미,509
순천만,100
오디,101
찌개집,792
고기고기,316
프랜즈,98
집구석,98
폭스,300
이글,796
호연,100
베이글,494
아우성,156
써니,920
봉우화로,849
항아리,1107
카레와,304
미짱,490
성우,299
나주곰탕,1400
곰작골 나주곰탕,200
만두랑,299
만나분식,297
헤라,99
파리바게트,2384
파코,200
트위터,200
소통,299
엔젤,100
남해,100
꽃을 피우고,103
현대,511
딸부자네 불백,792
자미,160
장꼬방,400
예손,100
빌리지,199
비행기,100
금강,1088
포레,102
멍텅구리,101
돈정,392
산쪼메,100
베리굿,99
다빈,100
비비큐,299
미향,106
황주,99
포레스트,102
광화문,100
비큐,1265
명가,396
아바타,204
