name,counter
야끼,2024
호남집,46
테마,43
요리가,1615
오양절면,1511
명동칼국수,1554
카이,284
봉피양,298
프리모,806
청국장집,190
방파제,405
동오부대찌개,100
완전,9885
오가네족발,68
묵은지,1703
이소,100
타이쇼,494
대성,3
브라운 브레드,147
오가네,68
총각네,500
다락방,81
오가네 족발,34
도연,6493
하루,9740
유락기사식당,1202
두오락,98
한스포,234
스타쉐프,1902
술집,5889
온에어,99
아낙감,1804
센스,1374
옛날농장,335
미도,1624
스시생,707
카라멜플라츠,297
츠키지,99
오바,336
진대감,5552
샤브미,38
젠틀커피,194
이어도,374
문어야,399
소가횟집,973
잰부닥,495
명성이자자한국시집,342
마포갈비,100
마린쿡,343
연화산,235
으뜸,1053
조우,24
라드레쎄,4186
사리원,400
마포집,460
신선설농탕,216
우미각,202
생어거스틴,2155
민트,339
홀리차우 도곡점,424
플래너,198
밀맥,100
연스시,350
국빈,210
갯바위,240
포브라더스,5695
금강수림,3496
딸기,1164
뉴욕,269
김영모과자점,791
페르에피스,303
삼미,79
마고,384
파리바게트,570
파리바게뜨,96
스노우마운틴,62
엠꼼마카롱,294
온새미로,202
카페올로,62
빠스,300
나무,1577
점프,69
일리,370
부첼라,9
