name,counter
케르반레스토랑,866
자이언,557
멘야산다이메,6428
성지,270
쟈니덤플링2호점,1504
로라,1329
프로스트,636
림프,10611
쟈니덤플링,9775
골드,1792
트랜스,103
초이스,2316
리오,4955
주전자,275
고인돌,3214
날개,2771
보름달,560
고깃집딸,72
가미,791
플레이,121818
애플,5534
트로이카,11152
고우,3685
그레이,2024
고깃집,4138
이태원고깃집,762
브라이리퍼블릭,1203
비아,482
도조,377
애가,680
퓨전,2851
사라,2999
이태원본,1738
멸치국수,280
무브,180
오아시스,222
김보,102
아리가또,205
일로,2947
오라,980
오렌지,3294
에이스,204
고암식당,1142
라온,403
이브,5703
실크로드,208
열정,1111
알트스위스샬레,1631
두루,408
더글램핑,510
글램,915
산토리니,3744
투데이,664
시크릿,529
민들레,1399
이태원식당,998
금강산,65
피자리움,1560
통채로,200
스탠딩,101
캔디,634
스카이,302
마더스오피스,102
인터내셔널,104
더블샷,102
티파니,176
만땅,502
토레엔,1008
이태원블루스,100
썬더버거,707
하시엔다,816
모토,303
명가,101
뼈다귀,107
다모토리,202
화수목,401
걸구네,1029
유니크,263
주유소,62
나인티모,142
미카,730
칠리칠리,67
파타야,101
김밥천국,101
바베큐집,101
켈리,102
왕타이,2132
드링크,1490
소호,102
대박이네,103
우나,114
투뿔등심 이태원점,206
그릴5타코,824
세인트,101
까올리포차나,204
스웨이,102
원스키친,202
부아,2038
르꽁뜨와,40
술상,591
시화담,4814
올댓재즈,403
벨벳,43
더베이커스테이블,2435
모우모우,1020
문오리,2966
장사랑,101
브라더포차,200
한국술집안씨막걸리,202
타르틴,876
포시즌,102
로즈앤크라운,306
놀러와,418
사랑방,102
건배,408
앙카라피크닉,306
옛날국시,505
릴리,101
빵터짐,103
케익하우스,92
